2025-08-31T17:17:58.808453,pytorch,383.63,10
2025-08-31T17:17:59.078596,pytorch,269.71,5
2025-08-31T17:17:59.370271,pytorch,291.34,5
2025-08-31T17:17:59.675662,pytorch,305.02,5
2025-08-31T17:17:59.939191,pytorch,263.12,5
2025-08-31T17:18:00.237505,pytorch,297.89,5
2025-08-31T17:18:00.519030,pytorch,280.96,5
2025-08-31T17:18:00.769654,pytorch,250.37,5
2025-08-31T17:18:01.013921,pytorch,244.04,5
2025-08-31T17:18:01.258980,pytorch,244.84,5
2025-08-31T17:18:01.528020,pytorch,268.82,5
2025-08-31T17:18:01.800306,pytorch,272.07,5
2025-08-31T17:18:02.045250,pytorch,244.72,5
2025-08-31T17:18:02.331141,pytorch,285.55,5
2025-08-31T17:18:02.622759,pytorch,291.35,5
2025-08-31T17:18:02.898560,pytorch,275.55,5
2025-08-31T17:18:03.184845,pytorch,285.87,5
2025-08-31T17:18:03.479981,pytorch,294.86,5
2025-08-31T17:18:03.737763,pytorch,257.55,5
